housenum,acre,bedgroup,bikescore,distance,garage_spaces,no_full_baths,no_half_baths,no_rooms,price2014,squarefeet,walkscore,zip
1,0.28,3 beds,35,2.4,2,1,0,5,210.729,0.966,9,1062
2,0.29,3 beds,44,1.97,1,1,0,5,204.171,0.96,5,1062
3,0.36,3 beds,66,0.043371212,2,2,1,7,338.662,1.725,46,1062
4,0.26,3 beds,61,0.554734848,1,1,1,6,276.25,1.727,40,1060
5,0.31,4+ beds,53,0.596590909,0,1,0,6,169.173,1.576,32,1062
6,0.31,3 beds,36,1.88,1,1,1,6,211.487,1.32,12,1062
7,0.08,3 beds,97,0.444886364,0,1,0,6,311.456,1.202,82,1060
8,0.11,4+ beds,95,0.444886364,0,1,1,9,377.857,2.136,88,1060
9,0.31,4+ beds,38,1.93,0,2,0,7,227.681,1.918,15,1062
10,0.27,3 beds,30,2.873030303,0,1,0,5,224.366,1.008,9,1062
11,0.27,3 beds,46,0.756628788,0,2,0,5,218.785,1.296,35,1062
12,0.51,3 beds,38,1.41,2,1,0,7,269.62,1.432,20,1062
13,0.23,4+ beds,79,1.42155303,0,2,0,8,447.842,2.04,68,1060
14,0.11,3 beds,85,0.246780303,0,1,1,6,386.446,1.604,65,1060
15,0.15,4+ beds,74,0.396022727,0,2,0,9,528.114,2.278,68,1060
16,0.23,3 beds,36,1.567234848,0,1,0,6,221.22,1.208,20,1062
17,0.23,4+ beds,37,1.676704545,0,2,0,7,320.206,1.744,17,1062
18,0.23,3 beds,36,1.598674242,0,1,0,5,179.487,1.008,17,1062
19,0.31,4+ beds,79,0.103030303,0,1,1,8,243.639,1.922,49,1060
20,0.07,4+ beds,94,0.3375,0,2,0,8,325.666,2.1,80,1060
21,0.23,4+ beds,54,1,1,2,0,7,282.765,1.664,29,1062
22,0.17,1-2 beds,70,0.042045455,1,1,0,5,198.686,0.892,45,1062
23,0.33,3 beds,29,2.15,0,1,0,5,168.761,1.01,3,1062
24,0.33,3 beds,32,2.621401515,0,1,1,6,200.871,1.248,11,1062
25,0.31,3 beds,33,2.579734848,1,2,0,6,237.206,1.3,9,1062
26,0.34,3 beds,31,2.7,1,1,0,5,205.77,1.04,9,1062
27,0.13,4+ beds,83,0.216738636,0,1,0,8,287.489,1.466,60,1060
28,0.23,3 beds,28,1.91,1,1,0,6,223.067,1.636,18,1062
29,0.21,4+ beds,46,0.708522727,1,1,0,7,237.594,1.335,32,1062
30,0.14,4+ beds,32,2.011742424,0,2,0,6,275.218,1.512,14,1062
31,0.21,4+ beds,27,1.991666667,1,2,0,8,280.283,1.752,18,1062
32,0.14,3 beds,88,0.892045455,0,1,0,8,237.789,1.912,92,1060
33,0.26,3 beds,38,0.875378788,0,1,0,5,191.694,0.942,22,1062
34,0.56,3 beds,87,0.329545455,0,2,0,8,365.506,1.675,57,1060
35,0.11,4+ beds,74,0.326515152,1,2,0,7,474.245,1.8,68,1060
36,0.32,3 beds,48,0.704356061,0,2,0,6,259.48,1.412,37,1062
37,0.5,3 beds,44,0.866856061,2,2,0,7,326.891,1.763,31,1062
38,0.34,4+ beds,77,0.204734848,2,2,0,7,228.829,1.796,48,1060
39,0.19,4+ beds,75,0.138825758,2,2,0,7,426.5,2.224,48,1060
40,0.11,3 beds,49,1.145454545,0,1,0,6,350.766,1.602,42,1060
41,0.28,4+ beds,79,0.179545455,1,2,0,9,279.187,1.9,65,1062
42,0.1,3 beds,33,2.28,0,1,0,6,214.737,1.348,11,1060
43,0.1,1-2 beds,33,2.28,0,1,0,5,212.959,1.084,11,1060
44,0.1,1-2 beds,33,0.421969697,0,1,1,4,301.366,1.83,11,1060
45,0.1,1-2 beds,33,2.28,0,1,0,4,144.366,0.587,11,1060
46,0.1,3 beds,33,2.28,0,2,0,6,318.348,1.389,11,1060
47,0.1,1-2 beds,32,2.28,0,1,0,4,185.141,0.645,11,1060
48,0.1,1-2 beds,32,2.28,0,1,0,4,132.135,0.804,11,1060
49,0.1,1-2 beds,32,2.28,0,1,0,5,200.219,0.8,11,1060
50,0.26,4+ beds,49,1.21,2,3,0,8,525.112,3.07,22,1062
51,0.35,3 beds,25,2.53,2,1,1,5,210.701,0.864,9,1062
52,0.46,3 beds,26,3.48,0,1,0,5,185.508,0.864,11,1062
53,0.43,4+ beds,21,2.4,0,1,0,6,209.945,1.008,11,1062
54,0.28,1-2 beds,97,0.126893939,0,1,0,4,142.702,0.524,94,1060
55,0.55,1-2 beds,43,0.73219697,0,1,1,7,367.384,1.856,37,1062
56,0.28,3 beds,43,0.935037879,0,1,0,5,201.443,0.96,22,1062
57,0.55,4+ beds,75,0.390530303,2,1,1,9,360.87,2.542,80,1062
58,0.18,3 beds,83,0.285795455,1,1,0,8,313.64,1.395,72,1062
59,0.26,3 beds,83,0.203598485,1,2,0,7,270.622,1.349,72,1062
60,0.25,1-2 beds,60,0.502462121,0,1,1,6,258.091,1.3,54,1062
61,0.22,4+ beds,85,0.096780303,2,1,1,8,357.303,2.256,69,1062
62,0.31,1-2 beds,85,0.115340909,2,1,0,5,289.946,1.519,69,1062
63,0.26,3 beds,69,0.385984848,2,1,0,7,296.142,1.454,40,1062
64,0.19,3 beds,55,0.75625,1,1,1,6,331.387,1.584,31,1062
65,0.14,4+ beds,69,0.6375,2,1,0,7,389.242,1.624,55,1060
66,0.24,4+ beds,71,0.111363636,2,3,0,11,495.218,2.85,35,1060
67,0.37,3 beds,76,0.300568182,1,1,0,7,246.02,1.376,75,1062
68,0.28,3 beds,39,1.58,1,1,0,7,212.892,1.427,15,1062
69,0.23,3 beds,69,0.166098485,1,1,1,8,384.14,1.837,37,1060
70,0.16,3 beds,87,0.192045455,0,1,0,7,295.182,1.386,71,1060
71,0.2,3 beds,83,0.35530303,2,2,1,6,520.147,1.966,60,1060
72,0.12,3 beds,70,0.165719697,0,1,0,6,284.484,1.376,37,1060
73,0.33,3 beds,51,1.72,0,2,0,6,228.565,1.2,25,1060
74,0.33,3 beds,55,0.911363636,2,2,0,8,447.27,1.734,31,1062
75,0.36,3 beds,53,0.785227273,0,2,0,7,286.163,1.556,54,1062
76,0.38,3 beds,57,0.985984848,0,2,0,6,222.864,1.7,2,1062
77,0.18,4+ beds,70,0.35719697,1,2,0,7,310.018,2.042,25,1060
78,0.39,3 beds,37,1.871780303,1,1,1,6,211.725,1.32,17,1062
79,0.46,3 beds,35,2.89,2,1,0,7,266.124,1.728,6,1062
80,0.27,3 beds,32,2.94280303,1,1,0,6,214.289,1.294,3,1062
81,0.51,3 beds,41,1.589962121,1,1,0,5,211.104,0.966,17,1062
82,0.54,1-2 beds,36,1.939962121,0,1,0,4,216.992,1.008,14,1062
83,0.35,3 beds,35,2.577083333,2,1,1,7,202.485,1.594,6,1062
84,0.22,4+ beds,84,0.200189394,1,1,1,9,429.368,1.817,66,1062
85,0.28,3 beds,34,1.75,0,1,0,5,208.703,0.96,20,1062
86,0.18,4+ beds,77,0.154356061,1,1,0,7,249.413,1.344,58,1060
87,0.17,4+ beds,60,0.385984848,2,2,0,7,332.674,1.5,46,1062
88,0.15,4+ beds,92,0.381818182,2,1,0,8,356.265,2.448,75,1060
89,0.35,4+ beds,73,0.624431818,2,3,1,14,513.096,4.03,51,1060
90,0.25,4+ beds,37,1.891060606,1,2,0,7,236.498,1.638,20,1062
91,0.43,4+ beds,37,1.887272727,1,2,0,7,295.772,1.772,20,1062
92,0.09,1-2 beds,95,0.416477273,4,2,0,5,421.46,2.137,88,1060
93,0.05,1-2 beds,97,0.038825758,0,2,0,4,233.023,0.934,66,1060
94,0.22,3 beds,73,0.144507576,2,1,1,5,279.814,1.457,51,1062
95,0.25,4+ beds,83,0.153219697,1,4,0,7,347.408,1.737,58,1062
96,0.12,3 beds,71,0.258712121,1,1,0,6,267.29,1.262,46,1060
97,0.26,4+ beds,89,0.458143939,1,3,0,12,879.328,3.175,89,1060
98,0.23,1-2 beds,18,3.976780303,0,2,0,6,191.407,1.041,8,1062
99,0.19,3 beds,90,0.674810606,0,2,1,9,467.861,2.102,89,1060
100,0.13,3 beds,73,0.950568182,0,2,0,8,301.94,1.859,63,1060
101,0.46,4+ beds,60,0.764204545,2,2,1,9,534.865,2.528,45,1060
102,0.4,4+ beds,78,0.125189394,0,2,0,8,331.84,1.96,65,1062
103,0.2,4+ beds,80,1.070265152,0,1,0,8,320.805,1.941,80,1060
104,0.31,1-2 beds,47,0.723295455,0,1,0,5,176.502,1.197,38,1062
